Voltage Amplitude:  1  Volts
Voltage Frequency:  0.1  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000    -0.000001939     0.000416213     0.000000000
    0.010000    -0.000001939     0.000416213    -0.000008264     0.000150125    -0.006283000
    0.020000    -0.000008264     0.000150125    -0.000011018     0.001234569    -0.012566000
    0.030000    -0.000011018     0.001234569    -0.000014254    -0.000968614    -0.018848000
    0.040000    -0.000014254    -0.000968614    -0.000017547    -0.002383737    -0.025130000
    0.050000    -0.000017547    -0.002383737    -0.000019902     0.000527421    -0.031411000
    0.060000    -0.000019902     0.000527421    -0.000025387    -0.001179538    -0.037690000
    0.070000    -0.000025387    -0.001179538    -0.000030838    -0.002006294    -0.043968000
    0.080000    -0.000030838    -0.002006294    -0.000036130    -0.001959214    -0.050244000
    0.090000    -0.000036130    -0.001959214    -0.000039175     0.000916983    -0.056519000
    0.100000    -0.000039175     0.000916983    -0.000047627    -0.002595786    -0.062791000
    0.110000    -0.000047627    -0.002595786    -0.000057855    -0.002576783    -0.069060000
    0.120000    -0.000057855    -0.002576783    -0.000066815    -0.002697158    -0.075327000
    0.130000    -0.000066815    -0.002697158    -0.000076031    -0.001231529    -0.081591000
    0.140000    -0.000076031    -0.001231529    -0.000085282    -0.002795949    -0.087851000
    0.150000    -0.000085282    -0.002795949    -0.000094689    -0.002853780    -0.094108000
    0.160000    -0.000094689    -0.002853780    -0.000107624    -0.001830388    -0.100362000
    0.170000    -0.000107624    -0.001830388    -0.000119156    -0.000732921    -0.106611000
    0.180000    -0.000119156    -0.000732921    -0.000130320    -0.002957498    -0.112856000
    0.190000    -0.000130320    -0.002957498    -0.000144213    -0.000460599    -0.119097000
    0.200000    -0.000144213    -0.000460599    -0.000157422    -0.001443812    -0.125333000
    0.210000    -0.000157422    -0.001443812    -0.000171193     0.000046471    -0.131564000
    0.220000    -0.000171193     0.000046471    -0.000185339    -0.000773035    -0.137790000
    0.230000    -0.000185339    -0.000773035    -0.000200093    -0.003402734    -0.144011000
    0.240000    -0.000200093    -0.003402734    -0.000215393    -0.003538164    -0.150226000
    0.250000    -0.000215393    -0.003538164    -0.000231146    -0.001254739    -0.156434000
    0.260000    -0.000231146    -0.001254739    -0.000247032    -0.001208472    -0.162637000
    0.270000    -0.000247032    -0.001208472    -0.000261902    -0.000219757    -0.168833000
    0.280000    -0.000261902    -0.000219757    -0.000276828    -0.001937631    -0.175023000
    0.290000    -0.000276828    -0.001937631    -0.000285100    -0.000191671    -0.181206000
    0.300000    -0.000285100    -0.000191671    -0.000290470    -0.000872768    -0.187381000
    0.310000    -0.000290470    -0.000872768    -0.000302454    -0.001509256    -0.193549000
    0.320000    -0.000302454    -0.001509256    -0.000320556    -0.002097454    -0.199710000
    0.330000    -0.000320556    -0.002097454    -0.000344310    -0.002640924    -0.205863000
    0.340000    -0.000344310    -0.002640924    -0.000373288    -0.003142962    -0.212007000
    0.350000    -0.000373288    -0.003142962    -0.000407090    -0.003606621    -0.218143000
    0.360000    -0.000407090    -0.003606621    -0.000445347    -0.004034724    -0.224271000
    0.370000    -0.000445347    -0.004034724    -0.000487716    -0.004429887    -0.230389000
