Voltage Amplitude:  7  Volts
Voltage Frequency:  1  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000     0.000000004     0.000154415     0.000000000
    0.001000     0.000000004     0.000154415    -0.000000066    -0.000015263    -0.043982000
    0.002000    -0.000000066    -0.000015263    -0.000000193    -0.000206389    -0.087962000
    0.003000    -0.000000193    -0.000206389    -0.000000351    -0.000028377    -0.131939000
    0.004000    -0.000000351    -0.000028377    -0.000001035    -0.001915355    -0.175911000
    0.005000    -0.000001035    -0.001915355    -0.000004920    -0.006007223    -0.219875000
    0.006000    -0.000004920    -0.006007223    -0.000013315    -0.010792020    -0.263831000
    0.007000    -0.000013315    -0.010792020    -0.000026614    -0.015770450    -0.307777000
    0.008000    -0.000026614    -0.015770450    -0.000044915    -0.020781424    -0.351710000
    0.009000    -0.000044915    -0.020781424    -0.000068220    -0.025773091    -0.395630000
    0.010000    -0.000068220    -0.025773091    -0.000096499    -0.030728816    -0.439534000
    0.011000    -0.000096499    -0.030728816    -0.000129713    -0.035643321    -0.483420000
    0.012000    -0.000129713    -0.035643321    -0.000167821    -0.040514992    -0.527288000
    0.013000    -0.000167821    -0.040514992    -0.000210778    -0.045343393    -0.571134000
    0.014000    -0.000210778    -0.045343393    -0.000258541    -0.050128469    -0.614958000
    0.015000    -0.000258541    -0.050128469    -0.000311068    -0.054870291    -0.658758000
    0.016000    -0.000311068    -0.054870291    -0.000368314    -0.059568966    -0.702532000
    0.017000    -0.000368314    -0.059568966    -0.000430238    -0.064224615    -0.746278000
    0.018000    -0.000430238    -0.064224615    -0.000496796    -0.068837365    -0.789995000
    0.019000    -0.000496796    -0.068837365    -0.000567944    -0.073407340    -0.833680000
    0.020000    -0.000567944    -0.073407340    -0.000643642    -0.077934668    -0.877333000
    0.021000    -0.000643642    -0.077934668    -0.000723845    -0.082419475    -0.920951000
    0.022000    -0.000723845    -0.082419475    -0.000808511    -0.086861889    -0.964532000
    0.023000    -0.000808511    -0.086861889    -0.000897599    -0.091262034    -1.008075000
    0.024000    -0.000897599    -0.091262034    -0.000991065    -0.095620038    -1.051579000
    0.025000    -0.000991065    -0.095620038    -0.001088868    -0.099936027    -1.095041000
    0.026000    -0.001088868    -0.099936027    -0.001190966    -0.104210127    -1.138460000
    0.027000    -0.001190966    -0.104210127    -0.001297317    -0.108442465    -1.181834000
    0.028000    -0.001297317    -0.108442465    -0.001407879    -0.112633165    -1.225161000
    0.029000    -0.001407879    -0.112633165    -0.001522611    -0.116782354    -1.268440000
    0.030000    -0.001522611    -0.116782354    -0.001641471    -0.120890159    -1.311669000
    0.031000    -0.001641471    -0.120890159    -0.001764419    -0.124956704    -1.354846000
    0.032000    -0.001764419    -0.124956704    -0.001891411    -0.128982116    -1.397970000
    0.033000    -0.001891411    -0.128982116    -0.002022409    -0.132966520    -1.441038000
    0.034000    -0.002022409    -0.132966520    -0.002157371    -0.136910042    -1.484050000
    0.035000    -0.002157371    -0.136910042    -0.002296255    -0.140812807    -1.527003000
    0.036000    -0.002296255    -0.140812807    -0.002439021    -0.144674941    -1.569895000
    0.037000    -0.002439021    -0.144674941    -0.002585630    -0.148496569    -1.612726000
    0.038000    -0.002585630    -0.148496569    -0.002736039    -0.152277818    -1.655493000
    0.039000    -0.002736039    -0.152277818    -0.002890209    -0.156018812    -1.698195000
    0.040000    -0.002890209    -0.156018812    -0.003048101    -0.159719677    -1.740829000
    0.041000    -0.003048101    -0.159719677    -0.003209672    -0.163380539    -1.783395000
    0.042000    -0.003209672    -0.163380539    -0.003374885    -0.167001523    -1.825891000
    0.043000    -0.003374885    -0.167001523    -0.003543698    -0.170582753    -1.868314000
    0.044000    -0.003543698    -0.170582753    -0.003716073    -0.174124357    -1.910664000
    0.045000    -0.003716073    -0.174124357    -0.003891969    -0.177626459    -1.952938000
    0.046000    -0.003891969    -0.177626459    -0.004071347    -0.181089185    -1.995135000
    0.047000    -0.004071347    -0.181089185    -0.004254169    -0.184512659    -2.037253000
    0.048000    -0.004254169    -0.184512659    -0.004440394    -0.187897009    -2.079291000
    0.049000    -0.004440394    -0.187897009    -0.004629983    -0.191242358    -2.121247000
    0.050000    -0.004629983    -0.191242358    -0.004822899    -0.194548834    -2.163119000
    0.051000    -0.004822899    -0.194548834    -0.005019101    -0.197816560    -2.204906000
    0.052000    -0.005019101    -0.197816560    -0.005218551    -0.201045663    -2.246605000
    0.053000    -0.005218551    -0.201045663    -0.005421211    -0.204236269    -2.288216000
    0.054000    -0.005421211    -0.204236269    -0.005627043    -0.207388502    -2.329737000
    0.055000    -0.005627043    -0.207388502    -0.005836007    -0.210502490    -2.371165000
    0.056000    -0.005836007    -0.210502490    -0.006048066    -0.213578356    -2.412500000
    0.057000    -0.006048066    -0.213578356    -0.006263182    -0.216616228    -2.453740000
    0.058000    -0.006263182    -0.216616228    -0.006481316    -0.219616231    -2.494883000
    0.059000    -0.006481316    -0.219616231    -0.006702431    -0.222578490    -2.535928000
    0.060000    -0.006702431    -0.222578490    -0.006926490    -0.225503132    -2.576872000
    0.061000    -0.006926490    -0.225503132    -0.007153454    -0.228390282    -2.617714000
    0.062000    -0.007153454    -0.228390282    -0.007383287    -0.231240067    -2.658454000
    0.063000    -0.007383287    -0.231240067    -0.007615950    -0.234052612    -2.699088000
    0.064000    -0.007615950    -0.234052612    -0.007851408    -0.236828044    -2.739616000
    0.065000    -0.007851408    -0.236828044    -0.008089622    -0.239566488    -2.780035000
    0.066000    -0.008089622    -0.239566488    -0.008330555    -0.242268071    -2.820345000
    0.067000    -0.008330555    -0.242268071    -0.008574172    -0.244932919    -2.860544000
    0.068000    -0.008574172    -0.244932919    -0.008820435    -0.247561159    -2.900629000
    0.069000    -0.008820435    -0.247561159    -0.009069309    -0.250152916    -2.940600000
    0.070000    -0.009069309    -0.250152916    -0.009320755    -0.252708317    -2.980455000
    0.071000    -0.009320755    -0.252708317    -0.009574738    -0.255227489    -3.020192000
    0.072000    -0.009574738    -0.255227489    -0.009831223    -0.257710557    -3.059810000
    0.073000    -0.009831223    -0.257710557    -0.010090172    -0.260157649    -3.099308000
    0.074000    -0.010090172    -0.260157649    -0.010351551    -0.262568892    -3.138683000
