Voltage Amplitude:  5  Volts
Voltage Frequency:  0.1  Hz
Phase Difference:  270.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000    -0.004757528    -0.513894163    -5.000000000
    0.010000    -0.004757528    -0.513894163    -0.009698769    -0.475235283    -4.999901000
    0.020000    -0.009698769    -0.475235283    -0.014268124    -0.439455857    -4.999605000
    0.030000    -0.014268124    -0.439455857    -0.018493337    -0.406345496    -4.999112000
    0.040000    -0.018493337    -0.406345496    -0.022400073    -0.375703624    -4.998421000
    0.050000    -0.022400073    -0.375703624    -0.026012069    -0.347344732    -4.997533000
    0.060000    -0.026012069    -0.347344732    -0.029351275    -0.321097243    -4.996447000
    0.070000    -0.029351275    -0.321097243    -0.032437994    -0.296802471    -4.995165000
    0.080000    -0.032437994    -0.296802471    -0.035291004    -0.274313653    -4.993685000
    0.090000    -0.035291004    -0.274313653    -0.037927669    -0.253495050    -4.992008000
    0.100000    -0.037927669    -0.253495050    -0.040364048    -0.234221123    -4.990134000
    0.110000    -0.040364048    -0.234221123    -0.042614996    -0.216375768    -4.988063000
    0.120000    -0.042614996    -0.216375768    -0.044694249    -0.199851603    -4.985795000
    0.130000    -0.044694249    -0.199851603    -0.046614509    -0.184549317    -4.983330000
    0.140000    -0.046614509    -0.184549317    -0.048387527    -0.170377064    -4.980668000
    0.150000    -0.048387527    -0.170377064    -0.050024169    -0.157249899    -4.977810000
    0.160000    -0.050024169    -0.157249899    -0.051534482    -0.145089263    -4.974755000
    0.170000    -0.051534482    -0.145089263    -0.052927762    -0.133822500    -4.971504000
    0.180000    -0.052927762    -0.133822500    -0.054212602    -0.123382418    -4.968057000
    0.190000    -0.054212602    -0.123382418    -0.055396952    -0.113706875    -4.964413000
    0.200000    -0.055396952    -0.113706875    -0.056488164    -0.104738400    -4.960574000
    0.210000    -0.056488164    -0.104738400    -0.057493036    -0.096423842    -4.956538000
    0.220000    -0.057493036    -0.096423842    -0.058417855    -0.088714048    -4.952307000
    0.230000    -0.058417855    -0.088714048    -0.059268438    -0.081563560    -4.947881000
    0.240000    -0.059268438    -0.081563560    -0.060050161    -0.074930336    -4.943259000
    0.250000    -0.060050161    -0.074930336    -0.060767999    -0.068775497    -4.938442000
    0.260000    -0.060767999    -0.068775497    -0.061426552    -0.063063088    -4.933430000
    0.270000    -0.061426552    -0.063063088    -0.062030074    -0.057759856    -4.928223000
    0.280000    -0.062030074    -0.057759856    -0.062582499    -0.052835050    -4.922822000
    0.290000    -0.062582499    -0.052835050    -0.063087466    -0.048260230    -4.917226000
    0.300000    -0.063087466    -0.048260230    -0.063548341    -0.044009096    -4.911436000
    0.310000    -0.063548341    -0.044009096    -0.063968236    -0.040057326    -4.905453000
    0.320000    -0.063968236    -0.040057326    -0.064350029    -0.036382427    -4.899275000
    0.330000    -0.064350029    -0.036382427    -0.064696383    -0.032963598    -4.892905000
    0.340000    -0.064696383    -0.032963598    -0.065009760    -0.029781603    -4.886341000
    0.350000    -0.065009760    -0.029781603    -0.065292438    -0.026818651    -4.879584000
    0.360000    -0.065292438    -0.026818651    -0.065546522    -0.024058292    -4.872634000
    0.370000    -0.065546522    -0.024058292    -0.065773962    -0.021485311    -4.865493000
    0.380000    -0.065773962    -0.021485311    -0.065976558    -0.019085640    -4.858159000
    0.390000    -0.065976558    -0.019085640    -0.066155977    -0.016846268    -4.850633000
    0.400000    -0.066155977    -0.016846268    -0.066313761    -0.014755164    -4.842916000
    0.410000    -0.066313761    -0.014755164    -0.066451335    -0.012801200    -4.835007000
    0.420000    -0.066451335    -0.012801200    -0.066570018    -0.010974087    -4.826908000
    0.430000    -0.066570018    -0.010974087    -0.066671031    -0.009264312    -4.818618000
    0.440000    -0.066671031    -0.009264312    -0.066755501    -0.007663074    -4.810138000
    0.450000    -0.066755501    -0.007663074    -0.066824472    -0.006162238    -4.801468000
    0.460000    -0.066824472    -0.006162238    -0.066878910    -0.004754280    -4.792609000
    0.470000    -0.066878910    -0.004754280    -0.066919707    -0.003432240    -4.783560000
    0.480000    -0.066919707    -0.003432240    -0.066947691    -0.002189687    -4.774323000
    0.490000    -0.066947691    -0.002189687    -0.066963626    -0.001020669    -4.764897000
    0.500000    -0.066963626    -0.001020669    -0.066970397    -0.002126655    -4.755283000
    0.510000    -0.066970397    -0.002126655    -0.066984127    -0.000047641    -4.745481000
    0.520000    -0.066984127    -0.000047641    -0.066999959    -0.000036763    -4.735492000
    0.530000    -0.066999959    -0.000036763    -0.067015328    -0.000083358    -4.725315000
    0.540000    -0.067015328    -0.000083358    -0.067030289     0.000086694    -4.714953000
    0.550000    -0.067030289     0.000086694    -0.067044035    -0.000298840    -4.704404000
    0.560000    -0.067044035    -0.000298840    -0.067056565    -0.001157847    -4.693669000
    0.570000    -0.067056565    -0.001157847    -0.067068462    -0.001582573    -4.682749000
    0.580000    -0.067068462    -0.001582573    -0.067077714     0.000715715    -4.671645000
    0.590000    -0.067077714     0.000715715    -0.067087115    -0.000084755    -4.660356000
    0.600000    -0.067087115    -0.000084755    -0.067096639     0.000953750    -4.648882000
    0.610000    -0.067096639     0.000953750    -0.067101745    -0.001565394    -4.637226000
    0.620000    -0.067101745    -0.001565394    -0.067107138    -0.002120452    -4.625386000
    0.630000    -0.067107138    -0.002120452    -0.067110770     0.001647567    -4.613364000
    0.640000    -0.067110770     0.001647567    -0.067114031    -0.002138492    -4.601159000
    0.650000    -0.067114031    -0.002138492    -0.067119305    -0.001333799    -4.588773000
    0.660000    -0.067119305    -0.001333799    -0.067115106     0.000023771    -4.576206000
    0.670000    -0.067115106     0.000023771    -0.067112770     0.000740433    -4.563458000
    0.680000    -0.067112770     0.000740433    -0.067109614    -0.001578512    -4.550530000
    0.690000    -0.067109614    -0.001578512    -0.067105287     0.001744216    -4.537422000
    0.700000    -0.067105287     0.001744216    -0.067099900     0.001865865    -4.524135000
    0.710000    -0.067099900     0.001865865    -0.067092238     0.002113370    -4.510670000
    0.720000    -0.067092238     0.002113370    -0.067083990    -0.000111120    -4.497026000
    0.730000    -0.067083990    -0.000111120    -0.067074891    -0.000471641    -4.483205000
    0.740000    -0.067074891    -0.000471641    -0.067062761     0.003207746    -4.469207000
    0.750000    -0.067062761     0.003207746    -0.067050474     0.000815475    -4.455033000
    0.760000    -0.067050474     0.000815475    -0.067036929     0.000063616    -4.440682000
    0.770000    -0.067036929     0.000063616    -0.067021796     0.000883345    -4.426157000
    0.780000    -0.067021796     0.000883345    -0.067006499     0.000332147    -4.411456000
    0.790000    -0.067006499     0.000332147    -0.066992508     0.000465886    -4.396582000
    0.800000    -0.066992508     0.000465886    -0.066983463     0.001654029    -4.381533000
    0.810000    -0.066983463     0.001654029    -0.066959280     0.003151447    -4.366312000
    0.820000    -0.066959280     0.003151447    -0.066920602     0.004554992    -4.350919000
    0.830000    -0.066920602     0.004554992    -0.066868333     0.005871671    -4.335354000
    0.840000    -0.066868333     0.005871671    -0.066803309     0.007107964    -4.319617000
    0.850000    -0.066803309     0.007107964    -0.066726302     0.008269865    -4.303710000
    0.860000    -0.066726302     0.008269865    -0.066638028     0.009362916    -4.287633000
    0.870000    -0.066638028     0.009362916    -0.066539150     0.010392243    -4.271387000
    0.880000    -0.066539150     0.010392243    -0.066430280     0.011362584    -4.254972000
    0.890000    -0.066430280     0.011362584    -0.066311986     0.012278322    -4.238390000
    0.900000    -0.066311986     0.012278322    -0.066184793     0.013143508    -4.221640000
    0.910000    -0.066184793     0.013143508    -0.066049188     0.013961891    -4.204723000
    0.920000    -0.066049188     0.013961891    -0.065905620     0.014736934    -4.187640000
    0.930000    -0.065905620     0.014736934    -0.065754507     0.015471842    -4.170392000
    0.940000    -0.065754507     0.015471842    -0.065596236     0.016169576    -4.152979000
    0.950000    -0.065596236     0.016169576    -0.065431163     0.016832875    -4.135403000
    0.960000    -0.065431163     0.016832875    -0.065259620     0.017464273    -4.117663000
    0.970000    -0.065259620     0.017464273    -0.065081914     0.018066110    -4.099761000
    0.980000    -0.065081914     0.018066110    -0.064898330     0.018640552    -4.081696000
    0.990000    -0.064898330     0.018640552    -0.064709131     0.019189600    -4.063471000
    1.000000    -0.064709131     0.019189600    -0.064514563     0.019715104    -4.045085000
    1.010000    -0.064514563     0.019715104    -0.064314851     0.020218776    -4.026539000
    1.020000    -0.064314851     0.020218776    -0.064110205     0.020702197    -4.007835000
    1.030000    -0.064110205     0.020702197    -0.063900822     0.021166829    -3.988972000
    1.040000    -0.063900822     0.021166829    -0.063686881     0.021614024    -3.969952000
    1.050000    -0.063686881     0.021614024    -0.063468551     0.022045032    -3.950775000
    1.060000    -0.063468551     0.022045032    -0.063245988     0.022461007    -3.931442000
    1.070000    -0.063245988     0.022461007    -0.063019337     0.022863017    -3.911954000
    1.080000    -0.063019337     0.022863017    -0.062788732     0.023252049    -3.892312000
    1.090000    -0.062788732     0.023252049    -0.062554298     0.023629015    -3.872515000
    1.100000    -0.062554298     0.023629015    -0.062316152     0.023994757    -3.852566000
    1.110000    -0.062316152     0.023994757    -0.062074402     0.024350055    -3.832465000
    1.120000    -0.062074402     0.024350055    -0.061829148     0.024695629    -3.812213000
    1.130000    -0.061829148     0.024695629    -0.061580485     0.025032143    -3.791810000
    1.140000    -0.061580485     0.025032143    -0.061328500     0.025360212    -3.771257000
    1.150000    -0.061328500     0.025360212    -0.061073275     0.025680403    -3.750555000
    1.160000    -0.061073275     0.025680403    -0.060814885     0.025993241    -3.729706000
    1.170000    -0.060814885     0.025993241    -0.060553402     0.026299212    -3.708709000
    1.180000    -0.060553402     0.026299212    -0.060288892     0.026598761    -3.687566000
    1.190000    -0.060288892     0.026598761    -0.060021417     0.026892302    -3.666277000
    1.200000    -0.060021417     0.026892302    -0.059751035     0.027180217    -3.644843000
    1.210000    -0.059751035     0.027180217    -0.059477802     0.027462858    -3.623266000
