Voltage Amplitude:  7  Volts
Voltage Frequency:  0.5  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000    -0.000000049    -0.000489522     0.000000000
    0.002000    -0.000000049    -0.000489522    -0.000000354    -0.000308965    -0.043982000
    0.004000    -0.000000354    -0.000308965    -0.000000846    -0.000094964    -0.087962000
    0.006000    -0.000000846    -0.000094964    -0.000001578    -0.000623532    -0.131939000
    0.008000    -0.000001578    -0.000623532    -0.000005010    -0.003546466    -0.175911000
    0.010000    -0.000005010    -0.003546466    -0.000016956    -0.008419742    -0.219875000
    0.012000    -0.000016956    -0.008419742    -0.000038853    -0.013422286    -0.263831000
    0.014000    -0.000038853    -0.013422286    -0.000070702    -0.018364611    -0.307777000
    0.016000    -0.000070702    -0.018364611    -0.000112357    -0.023228205    -0.351710000
    0.018000    -0.000112357    -0.023228205    -0.000163658    -0.028012082    -0.395630000
    0.020000    -0.000163658    -0.028012082    -0.000224447    -0.032717042    -0.439534000
    0.022000    -0.000224447    -0.032717042    -0.000294568    -0.037344056    -0.483420000
    0.024000    -0.000294568    -0.037344056    -0.000373864    -0.041894100    -0.527288000
    0.026000    -0.000373864    -0.041894100    -0.000462184    -0.046368136    -0.571134000
    0.028000    -0.000462184    -0.046368136    -0.000559375    -0.050767116    -0.614958000
    0.030000    -0.000559375    -0.050767116    -0.000665290    -0.055091976    -0.658758000
    0.032000    -0.000665290    -0.055091976    -0.000779780    -0.059343639    -0.702532000
    0.034000    -0.000779780    -0.059343639    -0.000902701    -0.063523018    -0.746278000
    0.036000    -0.000902701    -0.063523018    -0.001033908    -0.067631009    -0.789995000
    0.038000    -0.001033908    -0.067631009    -0.001173259    -0.071668497    -0.833680000
    0.040000    -0.001173259    -0.071668497    -0.001320615    -0.075636356    -0.877333000
    0.042000    -0.001320615    -0.075636356    -0.001475837    -0.079535446    -0.920951000
    0.044000    -0.001475837    -0.079535446    -0.001638789    -0.083366616    -0.964532000
    0.046000    -0.001638789    -0.083366616    -0.001809335    -0.087130702    -1.008075000
    0.048000    -0.001809335    -0.087130702    -0.001987342    -0.090828530    -1.051579000
    0.050000    -0.001987342    -0.090828530    -0.002172679    -0.094460913    -1.095041000
