Voltage Amplitude:  7  Volts
Voltage Frequency:  0.1  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000    -0.000002336    -0.000653348     0.000000000
    0.010000    -0.000002336    -0.000653348    -0.000009800    -0.002603921    -0.043982000
    0.020000    -0.000009800    -0.002603921    -0.000021257    -0.000077034    -0.087962000
    0.030000    -0.000021257    -0.000077034    -0.000033834    -0.000380464    -0.131939000
    0.040000    -0.000033834    -0.000380464    -0.000061971    -0.005239453    -0.175911000
    0.050000    -0.000061971    -0.005239453    -0.000137953    -0.009850623    -0.219875000
    0.060000    -0.000137953    -0.009850623    -0.000258269    -0.014114149    -0.263831000
    0.070000    -0.000258269    -0.014114149    -0.000419573    -0.018055589    -0.307777000
    0.080000    -0.000419573    -0.018055589    -0.000618765    -0.021698612    -0.351710000
    0.090000    -0.000618765    -0.021698612    -0.000852974    -0.025065138    -0.395630000
    0.100000    -0.000852974    -0.025065138    -0.001119538    -0.028175463    -0.439534000
    0.110000    -0.001119538    -0.028175463    -0.001415991    -0.031048385    -0.483420000
    0.120000    -0.001415991    -0.031048385    -0.001740049    -0.033701311    -0.527288000
    0.130000    -0.001740049    -0.033701311    -0.002089593    -0.036150358    -0.571134000
    0.140000    -0.002089593    -0.036150358    -0.002462661    -0.038410453    -0.614958000
    0.150000    -0.002462661    -0.038410453    -0.002857436    -0.040495419    -0.658758000
    0.160000    -0.002857436    -0.040495419    -0.003272229    -0.042418056    -0.702532000
    0.170000    -0.003272229    -0.042418056    -0.003705480    -0.044190215    -0.746278000
    0.180000    -0.003705480    -0.044190215    -0.004155739    -0.045822874    -0.789995000
    0.190000    -0.004155739    -0.045822874    -0.004621663    -0.047326195    -0.833680000
    0.200000    -0.004621663    -0.047326195    -0.005102007    -0.048709591    -0.877333000
    0.210000    -0.005102007    -0.048709591    -0.005595617    -0.049981776    -0.920951000
    0.220000    -0.005595617    -0.049981776    -0.006101421    -0.051150823    -0.964532000
    0.230000    -0.006101421    -0.051150823    -0.006618427    -0.052224204    -1.008075000
    0.240000    -0.006618427    -0.052224204    -0.007145712    -0.053208840    -1.051579000
    0.250000    -0.007145712    -0.053208840    -0.007682423    -0.054111140    -1.095041000
    0.260000    -0.007682423    -0.054111140    -0.008227767    -0.054937038    -1.138460000
    0.270000    -0.008227767    -0.054937038    -0.008781007    -0.055692029    -1.181834000
    0.280000    -0.008781007    -0.055692029    -0.009341460    -0.056381204    -1.225161000
    0.290000    -0.009341460    -0.056381204    -0.009908493    -0.057009273    -1.268440000
    0.300000    -0.009908493    -0.057009273    -0.010481517    -0.057580601    -1.311669000
    0.310000    -0.010481517    -0.057580601    -0.011059984    -0.058099230    -1.354846000
    0.320000    -0.011059984    -0.058099230    -0.011643388    -0.058568903    -1.397970000
    0.330000    -0.011643388    -0.058568903    -0.012231255    -0.058993083    -1.441038000
    0.340000    -0.012231255    -0.058993083    -0.012823149    -0.059374983    -1.484050000
    0.350000    -0.012823149    -0.059374983    -0.013418660    -0.059717573    -1.527003000
    0.360000    -0.013418660    -0.059717573    -0.014017411    -0.060023607    -1.569895000
    0.370000    -0.014017411    -0.060023607    -0.014619048    -0.060295634    -1.612726000
    0.380000    -0.014619048    -0.060295634    -0.015223244    -0.060536015    -1.655493000
    0.390000    -0.015223244    -0.060536015    -0.015829693    -0.060746937    -1.698195000
    0.400000    -0.015829693    -0.060746937    -0.016438111    -0.060930425    -1.740829000
    0.410000    -0.016438111    -0.060930425    -0.017048233    -0.061088355    -1.783395000
    0.420000    -0.017048233    -0.061088355    -0.017659813    -0.061222466    -1.825891000
    0.430000    -0.017659813    -0.061222466    -0.018272620    -0.061334365    -1.868314000
    0.440000    -0.018272620    -0.061334365    -0.018886441    -0.061425545    -1.910664000
    0.450000    -0.018886441    -0.061425545    -0.019501075    -0.061497387    -1.952938000
    0.460000    -0.019501075    -0.061497387    -0.020116335    -0.061551169    -1.995135000
    0.470000    -0.020116335    -0.061551169    -0.020732047    -0.061588077    -2.037253000
    0.480000    -0.020732047    -0.061588077    -0.021348047    -0.061609209    -2.079291000
    0.490000    -0.021348047    -0.061609209    -0.021964183    -0.061615583    -2.121247000
    0.500000    -0.021964183    -0.061615583    -0.022580313    -0.061608142    -2.163119000
    0.510000    -0.022580313    -0.061608142    -0.023196301    -0.061587759    -2.204906000
    0.520000    -0.023196301    -0.061587759    -0.023812025    -0.061555244    -2.246605000
    0.530000    -0.023812025    -0.061555244    -0.024427365    -0.061511347    -2.288216000
    0.540000    -0.024427365    -0.061511347    -0.025042211    -0.061456765    -2.329737000
    0.550000    -0.025042211    -0.061456765    -0.025656460    -0.061392141    -2.371165000
    0.560000    -0.025656460    -0.061392141    -0.026270015    -0.061318074    -2.412500000
    0.570000    -0.026270015    -0.061318074    -0.026882784    -0.061235118    -2.453740000
    0.580000    -0.026882784    -0.061235118    -0.027494681    -0.061143787    -2.494883000
    0.590000    -0.027494681    -0.061143787    -0.028105624    -0.061044557    -2.535928000
    0.600000    -0.028105624    -0.061044557    -0.028715537    -0.060937871    -2.576872000
    0.610000    -0.028715537    -0.060937871    -0.029324347    -0.060824140    -2.617714000
    0.620000    -0.029324347    -0.060824140    -0.029931986    -0.060703743    -2.658454000
    0.630000    -0.029931986    -0.060703743    -0.030538389    -0.060577034    -2.699088000
