Voltage Amplitude:  1  Volts
Voltage Frequency:  0.5  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000     0.000000051    -0.000250134     0.000000000
    0.002000     0.000000051    -0.000250134    -0.000000021     0.000160284    -0.006283000
    0.004000    -0.000000021     0.000160284    -0.000000105    -0.000156460    -0.012566000
    0.006000    -0.000000105    -0.000156460    -0.000000196    -0.000368572    -0.018848000
    0.008000    -0.000000196    -0.000368572    -0.000000309    -0.000466651    -0.025130000
    0.010000    -0.000000309    -0.000466651    -0.000000483    -0.000402736    -0.031411000
    0.012000    -0.000000483    -0.000402736    -0.000000662    -0.000234333    -0.037690000
    0.014000    -0.000000662    -0.000234333    -0.000000892     0.000079717    -0.043968000
    0.016000    -0.000000892     0.000079717    -0.000001123    -0.000331374    -0.050244000
    0.018000    -0.000001123    -0.000331374    -0.000001382     0.000212924    -0.056519000
    0.020000    -0.000001382     0.000212924    -0.000001679     0.000070747    -0.062791000
    0.022000    -0.000001679     0.000070747    -0.000001987     0.000040181    -0.069060000
    0.024000    -0.000001987     0.000040181    -0.000002373     0.000196506    -0.075327000
    0.026000    -0.000002373     0.000196506    -0.000002779    -0.000355114    -0.081591000
    0.028000    -0.000002779    -0.000355114    -0.000003206     0.000060440    -0.087851000
    0.030000    -0.000003206     0.000060440    -0.000003664    -0.000221741    -0.094108000
    0.032000    -0.000003664    -0.000221741    -0.000004187    -0.000320664    -0.100362000
    0.034000    -0.000004187    -0.000320664    -0.000004705    -0.000310549    -0.106611000
    0.036000    -0.000004705    -0.000310549    -0.000005212    -0.000199878    -0.112856000
    0.038000    -0.000005212    -0.000199878    -0.000005786     0.000098998    -0.119097000
    0.040000    -0.000005786     0.000098998    -0.000006388    -0.000294332    -0.125333000
    0.042000    -0.000006388    -0.000294332    -0.000007029    -0.000521625    -0.131564000
    0.044000    -0.000007029    -0.000521625    -0.000007703    -0.000594260    -0.137790000
    0.046000    -0.000007703    -0.000594260    -0.000008400    -0.000518652    -0.144011000
    0.048000    -0.000008400    -0.000518652    -0.000009122    -0.000291714    -0.150226000
    0.050000    -0.000009122    -0.000291714    -0.000009767    -0.000003505    -0.156434000
    0.052000    -0.000009767    -0.000003505    -0.000010545    -0.000304686    -0.162637000
    0.054000    -0.000010545    -0.000304686    -0.000011242    -0.000555329    -0.168833000
    0.056000    -0.000011242    -0.000555329    -0.000013014    -0.001224766    -0.175023000
    0.058000    -0.000013014    -0.001224766    -0.000016172    -0.001926782    -0.181206000
    0.060000    -0.000016172    -0.001926782    -0.000020730    -0.002621593    -0.187381000
    0.062000    -0.000020730    -0.002621593    -0.000026665    -0.003305256    -0.193549000
    0.064000    -0.000026665    -0.003305256    -0.000033957    -0.003977499    -0.199710000
    0.066000    -0.000033957    -0.003977499    -0.000042581    -0.004638427    -0.205863000
    0.068000    -0.000042581    -0.004638427    -0.000052516    -0.005288180    -0.212007000
    0.070000    -0.000052516    -0.005288180    -0.000063739    -0.005926900    -0.218143000
    0.072000    -0.000063739    -0.005926900    -0.000076229    -0.006554729    -0.224271000
    0.074000    -0.000076229    -0.006554729    -0.000089963    -0.007171805    -0.230389000
    0.076000    -0.000089963    -0.007171805    -0.000104921    -0.007778264    -0.236499000
    0.078000    -0.000104921    -0.007778264    -0.000121081    -0.008374241    -0.242599000
    0.080000    -0.000121081    -0.008374241    -0.000138423    -0.008959868    -0.248690000
    0.082000    -0.000138423    -0.008959868    -0.000156926    -0.009535276    -0.254771000
