Voltage Amplitude:  5  Volts
Voltage Frequency:  2  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000     0.000000004     0.000088949     0.000000000
    0.000500     0.000000004     0.000088949    -0.000000006    -0.000064141    -0.031416000
    0.001000    -0.000000006    -0.000064141    -0.000000021    -0.000054499    -0.062830000
    0.001500    -0.000000021    -0.000054499    -0.000000051    -0.000114810    -0.094242000
    0.002000    -0.000000051    -0.000114810    -0.000000089    -0.000047028    -0.125650000
    0.002500    -0.000000089    -0.000047028    -0.000000124    -0.000066060    -0.157054000
    0.003000    -0.000000124    -0.000066060    -0.000000385    -0.001200045    -0.188451000
    0.003500    -0.000000385    -0.001200045    -0.000001513    -0.003424469    -0.219841000
    0.004000    -0.000001513    -0.003424469    -0.000003926    -0.006274279    -0.251222000
    0.004500    -0.000003926    -0.006274279    -0.000007860    -0.009474137    -0.282593000
    0.005000    -0.000007860    -0.009474137    -0.000013448    -0.012865875    -0.313953000
    0.005500    -0.000013448    -0.012865875    -0.000020760    -0.016359292    -0.345300000
    0.006000    -0.000020760    -0.016359292    -0.000029833    -0.019903031    -0.376634000
    0.006500    -0.000029833    -0.019903031    -0.000040684    -0.023467845    -0.407953000
    0.007000    -0.000040684    -0.023467845    -0.000053319    -0.027037069    -0.439256000
    0.007500    -0.000053319    -0.027037069    -0.000067738    -0.030601189    -0.470542000
    0.008000    -0.000067738    -0.030601189    -0.000083937    -0.034154761    -0.501809000
    0.008500    -0.000083937    -0.034154761    -0.000101908    -0.037694656    -0.533056000
    0.009000    -0.000101908    -0.037694656    -0.000121646    -0.041219060    -0.564282000
    0.009500    -0.000121646    -0.041219060    -0.000143142    -0.044726910    -0.595486000
    0.010000    -0.000143142    -0.044726910    -0.000166388    -0.048217570    -0.626666000
    0.010500    -0.000166388    -0.048217570    -0.000191374    -0.051690645    -0.657822000
    0.011000    -0.000191374    -0.051690645    -0.000218093    -0.055145879    -0.688951000
    0.011500    -0.000218093    -0.055145879    -0.000246535    -0.058583098    -0.720054000
    0.012000    -0.000246535    -0.058583098    -0.000276690    -0.062002170    -0.751128000
    0.012500    -0.000276690    -0.062002170    -0.000308551    -0.065402990    -0.782172000
    0.013000    -0.000308551    -0.065402990    -0.000342107    -0.068785469    -0.813186000
    0.013500    -0.000342107    -0.068785469    -0.000377350    -0.072149526    -0.844167000
    0.014000    -0.000377350    -0.072149526    -0.000414270    -0.075495086    -0.875115000
    0.014500    -0.000414270    -0.075495086    -0.000452859    -0.078822077    -0.906029000
    0.015000    -0.000452859    -0.078822077    -0.000493106    -0.082130430    -0.936907000
    0.015500    -0.000493106    -0.082130430    -0.000535002    -0.085420077    -0.967747000
    0.016000    -0.000535002    -0.085420077    -0.000578539    -0.088690951    -0.998550000
    0.016500    -0.000578539    -0.088690951    -0.000623707    -0.091942985    -1.029313000
    0.017000    -0.000623707    -0.091942985    -0.000670495    -0.095176117    -1.060036000
    0.017500    -0.000670495    -0.095176117    -0.000718896    -0.098390280    -1.090716000
    0.018000    -0.000718896    -0.098390280    -0.000768898    -0.101585412    -1.121354000
    0.018500    -0.000768898    -0.101585412    -0.000820494    -0.104761450    -1.151947000
    0.019000    -0.000820494    -0.104761450    -0.000873672    -0.107918333    -1.182495000
    0.019500    -0.000873672    -0.107918333    -0.000928425    -0.111056000    -1.212996000
    0.020000    -0.000928425    -0.111056000    -0.000984741    -0.114174389    -1.243449000
    0.020500    -0.000984741    -0.114174389    -0.001042611    -0.117273442    -1.273854000
    0.021000    -0.001042611    -0.117273442    -0.001102026    -0.120353100    -1.304208000
    0.021500    -0.001102026    -0.120353100    -0.001162977    -0.123413304    -1.334510000
    0.022000    -0.001162977    -0.123413304    -0.001225452    -0.126453997    -1.364760000
    0.022500    -0.001225452    -0.126453997    -0.001289442    -0.129475123    -1.394956000
    0.023000    -0.001289442    -0.129475123    -0.001354939    -0.132476625    -1.425096000
    0.023500    -0.001354939    -0.132476625    -0.001421931    -0.135458448    -1.455181000
    0.024000    -0.001421931    -0.135458448    -0.001490409    -0.138420539    -1.485208000
    0.024500    -0.001490409    -0.138420539    -0.001560363    -0.141362842    -1.515176000
    0.025000    -0.001560363    -0.141362842    -0.001631783    -0.144285306    -1.545085000
    0.025500    -0.001631783    -0.144285306    -0.001704659    -0.147187878    -1.574933000
    0.026000    -0.001704659    -0.147187878    -0.001778982    -0.150070506    -1.604718000
    0.026500    -0.001778982    -0.150070506    -0.001854741    -0.152933140    -1.634440000
    0.027000    -0.001854741    -0.152933140    -0.001931926    -0.155775730    -1.664098000
    0.027500    -0.001931926    -0.155775730    -0.002010527    -0.158598227    -1.693690000
    0.028000    -0.002010527    -0.158598227    -0.002090535    -0.161400581    -1.723215000
    0.028500    -0.002090535    -0.161400581    -0.002171939    -0.164182746    -1.752672000
    0.029000    -0.002171939    -0.164182746    -0.002254728    -0.166944674    -1.782059000
