Voltage Amplitude:  5  Volts
Voltage Frequency:  0.1  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000    -0.000002163    -0.001767235     0.000000000
    0.010000    -0.000002163    -0.001767235    -0.000006530    -0.000434391    -0.031416000
    0.020000    -0.000006530    -0.000434391    -0.000015764     0.000650735    -0.062830000
    0.030000    -0.000015764     0.000650735    -0.000028088    -0.000277768    -0.094242000
    0.040000    -0.000028088    -0.000277768    -0.000043563    -0.002806267    -0.125650000
    0.050000    -0.000043563    -0.002806267    -0.000054756    -0.001748727    -0.157054000
    0.060000    -0.000054756    -0.001748727    -0.000089847    -0.005190994    -0.188451000
    0.070000    -0.000089847    -0.005190994    -0.000158046    -0.008375446    -0.219841000
    0.080000    -0.000158046    -0.008375446    -0.000256863    -0.011320145    -0.251222000
    0.090000    -0.000256863    -0.011320145    -0.000383992    -0.014042732    -0.282593000
    0.100000    -0.000383992    -0.014042732    -0.000537294    -0.016559541    -0.313953000
    0.110000    -0.000537294    -0.016559541    -0.000714789    -0.018885697    -0.345300000
    0.120000    -0.000714789    -0.018885697    -0.000914643    -0.021035203    -0.376634000
    0.130000    -0.000914643    -0.021035203    -0.001135155    -0.023021026    -0.407953000
    0.140000    -0.001135155    -0.023021026    -0.001374749    -0.024855173    -0.439256000
    0.150000    -0.001374749    -0.024855173    -0.001631966    -0.026548761    -0.470542000
    0.160000    -0.001631966    -0.026548761    -0.001905453    -0.028112082    -0.501809000
    0.170000    -0.001905453    -0.028112082    -0.002193956    -0.029554669    -0.533056000
    0.180000    -0.002193956    -0.029554669    -0.002496312    -0.030885345    -0.564282000
    0.190000    -0.002496312    -0.030885345    -0.002811445    -0.032112282    -0.595486000
    0.200000    -0.002811445    -0.032112282    -0.003138355    -0.033243046    -0.626666000
    0.210000    -0.003138355    -0.033243046    -0.003476117    -0.034284642    -0.657822000
    0.220000    -0.003476117    -0.034284642    -0.003823872    -0.035243556    -0.688951000
    0.230000    -0.003823872    -0.035243556    -0.004180825    -0.036125793    -0.720054000
    0.240000    -0.004180825    -0.036125793    -0.004546236    -0.036936915    -0.751128000
    0.250000    -0.004546236    -0.036936915    -0.004919421    -0.037682071    -0.782172000
    0.260000    -0.004919421    -0.037682071    -0.005299745    -0.038366028    -0.813186000
    0.270000    -0.005299745    -0.038366028    -0.005686618    -0.038993200    -0.844167000
    0.280000    -0.005686618    -0.038993200    -0.006079493    -0.039567674    -0.875115000
    0.290000    -0.006079493    -0.039567674    -0.006477863    -0.040093236    -0.906029000
    0.300000    -0.006477863    -0.040093236    -0.006881257    -0.040573388    -0.936907000
    0.310000    -0.006881257    -0.040573388    -0.007289236    -0.041011378    -0.967747000
    0.320000    -0.007289236    -0.041011378    -0.007701396    -0.041410208    -0.998550000
    0.330000    -0.007701396    -0.041410208    -0.008117357    -0.041772660    -1.029313000
    0.340000    -0.008117357    -0.041772660    -0.008536771    -0.042101311    -1.060036000
    0.350000    -0.008536771    -0.042101311    -0.008959310    -0.042398547    -1.090716000
    0.360000    -0.008959310    -0.042398547    -0.009384673    -0.042666575    -1.121354000
    0.370000    -0.009384673    -0.042666575    -0.009812577    -0.042907442    -1.151947000
    0.380000    -0.009812577    -0.042907442    -0.010242760    -0.043123042    -1.182495000
    0.390000    -0.010242760    -0.043123042    -0.010674980    -0.043315127    -1.212996000
    0.400000    -0.010674980    -0.043315127    -0.011109008    -0.043485324    -1.243449000
    0.410000    -0.011109008    -0.043485324    -0.011544634    -0.043635135    -1.273854000
    0.420000    -0.011544634    -0.043635135    -0.011981661    -0.043765954    -1.304208000
    0.430000    -0.011981661    -0.043765954    -0.012419906    -0.043879071    -1.334510000
    0.440000    -0.012419906    -0.043879071    -0.012859198    -0.043975681    -1.364760000
    0.450000    -0.012859198    -0.043975681    -0.013299378    -0.044056890    -1.394956000
    0.460000    -0.013299378    -0.044056890    -0.013740295    -0.044123724    -1.425096000
    0.470000    -0.013740295    -0.044123724    -0.014181813    -0.044177131    -1.455181000
    0.480000    -0.014181813    -0.044177131    -0.014623801    -0.044217991    -1.485208000
    0.490000    -0.014623801    -0.044217991    -0.015066137    -0.044247119    -1.515176000
    0.500000    -0.015066137    -0.044247119    -0.015508709    -0.044265270    -1.545085000
