Voltage Amplitude:  10  Volts
Voltage Frequency:  2  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000     0.000000001    -0.000122090     0.000000000
    0.000500     0.000000001    -0.000122090    -0.000000017    -0.000019654    -0.062831000
    0.001000    -0.000000017    -0.000019654    -0.000000052    -0.000196673    -0.125660000
    0.001500    -0.000000052    -0.000196673    -0.000000307    -0.001364107    -0.188484000
    0.002000    -0.000000307    -0.001364107    -0.000001863    -0.005155245    -0.251301000
    0.002500    -0.000001863    -0.005155245    -0.000005738    -0.010479461    -0.314108000
    0.003000    -0.000005738    -0.010479461    -0.000012514    -0.016667635    -0.376902000
    0.003500    -0.000012514    -0.016667635    -0.000022516    -0.023332189    -0.439681000
    0.004000    -0.000022516    -0.023332189    -0.000035922    -0.030251680    -0.502443000
    0.004500    -0.000035922    -0.030251680    -0.000052824    -0.037299984    -0.565185000
    0.005000    -0.000052824    -0.037299984    -0.000073267    -0.044405294    -0.627905000
    0.005500    -0.000073267    -0.044405294    -0.000097268    -0.051526702    -0.690600000
    0.006000    -0.000097268    -0.051526702    -0.000124828    -0.058640876    -0.753268000
    0.006500    -0.000124828    -0.058640876    -0.000155941    -0.065734482    -0.815906000
    0.007000    -0.000155941    -0.065734482    -0.000190593    -0.072799872    -0.878512000
    0.007500    -0.000190593    -0.072799872    -0.000228770    -0.079832634    -0.941083000
    0.008000    -0.000228770    -0.079832634    -0.000270455    -0.086830199    -1.003617000
    0.008500    -0.000270455    -0.086830199    -0.000315629    -0.093791048    -1.066112000
    0.009000    -0.000315629    -0.093791048    -0.000364274    -0.100714259    -1.128564000
    0.009500    -0.000364274    -0.100714259    -0.000416372    -0.107599252    -1.190972000
    0.010000    -0.000416372    -0.107599252    -0.000471902    -0.114445642    -1.253332000
    0.010500    -0.000471902    -0.114445642    -0.000530845    -0.121253156    -1.315644000
    0.011000    -0.000530845    -0.121253156    -0.000593182    -0.128021585    -1.377903000
    0.011500    -0.000593182    -0.128021585    -0.000658894    -0.134750759    -1.440108000
    0.012000    -0.000658894    -0.134750759    -0.000727960    -0.141440529    -1.502256000
