Voltage Amplitude:  1  Volts
Voltage Frequency:  1  Hz
Phase Difference:  180.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000    -0.000022217    -0.050910588     1.000000000
    0.001000    -0.000022217    -0.050910588    -0.000091479    -0.081822518    -1.000000000
    0.002000    -0.000091479    -0.081822518    -0.000179221    -0.091627494    -1.000000000
    0.003000    -0.000179221    -0.091627494    -0.000272515    -0.094305294    -1.000000000
    0.004000    -0.000272515    -0.094305294    -0.000367108    -0.094673696    -1.000000000
    0.005000    -0.000367108    -0.094673696    -0.000461625    -0.094298171    -1.000000000
    0.006000    -0.000461625    -0.094298171    -0.000555624    -0.093685617    -1.000000000
    0.007000    -0.000555624    -0.093685617    -0.000648966    -0.093000114    -1.000000000
    0.008000    -0.000648966    -0.093000114    -0.000741611    -0.092294752    -1.000000000
    0.009000    -0.000741611    -0.092294752    -0.000833548    -0.091586690    -1.000000000
    0.010000    -0.000833548    -0.091586690    -0.000924778    -0.090881454    -1.000000000
    0.011000    -0.000924778    -0.090881454    -0.001015305    -0.090180805    -1.000000000
    0.012000    -0.001015305    -0.090180805    -0.001105135    -0.089485285    -1.000000000
    0.013000    -0.001105135    -0.089485285    -0.001194271    -0.088795040    -1.000000000
    0.014000    -0.001194271    -0.088795040    -0.001282720    -0.088110091    -1.000000000
    0.015000    -0.001282720    -0.088110091    -0.001370486    -0.087430416    -1.000000000
    0.016000    -0.001370486    -0.087430416    -0.001457575    -0.086755981    -1.000000000
    0.017000    -0.001457575    -0.086755981    -0.001543993    -0.086086748    -1.000000000
    0.018000    -0.001543993    -0.086086748    -0.001629744    -0.085422676    -1.000000000
    0.019000    -0.001629744    -0.085422676    -0.001714833    -0.084763728    -1.000000000
    0.020000    -0.001714833    -0.084763728    -0.001799267    -0.084109862    -1.000000000
    0.021000    -0.001799267    -0.084109862    -0.001883048    -0.083461040    -1.000000000
    0.022000    -0.001883048    -0.083461040    -0.001966184    -0.082817223    -1.000000000
    0.023000    -0.001966184    -0.082817223    -0.002048678    -0.082178373    -1.000000000
    0.024000    -0.002048678    -0.082178373    -0.002130536    -0.081544451    -1.000000000
    0.025000    -0.002130536    -0.081544451    -0.002211762    -0.080915418    -1.000000000
    0.026000    -0.002211762    -0.080915418    -0.002292362    -0.080291238    -1.000000000
    0.027000    -0.002292362    -0.080291238    -0.002372340    -0.079671873    -1.000000000
    0.028000    -0.002372340    -0.079671873    -0.002451701    -0.079057286    -1.000000000
    0.029000    -0.002451701    -0.079057286    -0.002530450    -0.078447439    -1.000000000
    0.030000    -0.002530450    -0.078447439    -0.002608592    -0.077842297    -1.000000000
    0.031000    -0.002608592    -0.077842297    -0.002686130    -0.077241823    -1.000000000
    0.032000    -0.002686130    -0.077241823    -0.002763071    -0.076645981    -1.000000000
    0.033000    -0.002763071    -0.076645981    -0.002839418    -0.076054735    -1.000000000
    0.034000    -0.002839418    -0.076054735    -0.002915176    -0.075468050    -1.000000000
    0.035000    -0.002915176    -0.075468050    -0.002990350    -0.074885891    -1.000000000
    0.036000    -0.002990350    -0.074885891    -0.003064943    -0.074308223    -1.000000000
    0.037000    -0.003064943    -0.074308223    -0.003138962    -0.073735010    -1.000000000
    0.038000    -0.003138962    -0.073735010    -0.003212409    -0.073166219    -1.000000000
    0.039000    -0.003212409    -0.073166219    -0.003285290    -0.072601816    -1.000000000
    0.040000    -0.003285290    -0.072601816    -0.003357609    -0.072041767    -1.000000000
    0.041000    -0.003357609    -0.072041767    -0.003429369    -0.071486038    -1.000000000
    0.042000    -0.003429369    -0.071486038    -0.003500577    -0.070934596    -1.000000000
    0.043000    -0.003500577    -0.070934596    -0.003571234    -0.070387408    -1.000000000
    0.044000    -0.003571234    -0.070387408    -0.003641347    -0.069844440    -1.000000000
    0.045000    -0.003641347    -0.069844440    -0.003710919    -0.069305661    -1.000000000
    0.046000    -0.003710919    -0.069305661    -0.003779955    -0.068771038    -1.000000000
    0.047000    -0.003779955    -0.068771038    -0.003848457    -0.068240539    -1.000000000
    0.048000    -0.003848457    -0.068240539    -0.003916432    -0.067714133    -1.000000000
    0.049000    -0.003916432    -0.067714133    -0.003983882    -0.067191787    -1.000000000
    0.050000    -0.003983882    -0.067191787    -0.004050812    -0.066673471    -1.000000000
    0.051000    -0.004050812    -0.066673471    -0.004117225    -0.066159152    -1.000000000
    0.052000    -0.004117225    -0.066159152    -0.004183126    -0.065648801    -1.000000000
    0.053000    -0.004183126    -0.065648801    -0.004248519    -0.065142387    -1.000000000
    0.054000    -0.004248519    -0.065142387    -0.004313407    -0.064639880    -1.000000000
    0.055000    -0.004313407    -0.064639880    -0.004377795    -0.064141249    -1.000000000
    0.056000    -0.004377795    -0.064141249    -0.004441686    -0.063646464    -1.000000000
    0.057000    -0.004441686    -0.063646464    -0.004505084    -0.063155496    -1.000000000
    0.058000    -0.004505084    -0.063155496    -0.004567993    -0.062668315    -1.000000000
    0.059000    -0.004567993    -0.062668315    -0.004630417    -0.062184893    -1.000000000
    0.060000    -0.004630417    -0.062184893    -0.004692359    -0.061705199    -1.000000000
    0.061000    -0.004692359    -0.061705199    -0.004753824    -0.061229206    -1.000000000
    0.062000    -0.004753824    -0.061229206    -0.004814814    -0.060756884    -1.000000000
    0.063000    -0.004814814    -0.060756884    -0.004875334    -0.060288207    -1.000000000
    0.064000    -0.004875334    -0.060288207    -0.004935387    -0.059823144    -1.000000000
    0.065000    -0.004935387    -0.059823144    -0.004994977    -0.059361669    -1.000000000
    0.066000    -0.004994977    -0.059361669    -0.005054107    -0.058903754    -1.000000000
    0.067000    -0.005054107    -0.058903754    -0.005112781    -0.058449371    -1.000000000
    0.068000    -0.005112781    -0.058449371    -0.005171003    -0.057998493    -1.000000000
    0.069000    -0.005171003    -0.057998493    -0.005228775    -0.057551093    -1.000000000
    0.070000    -0.005228775    -0.057551093    -0.005286102    -0.057107145    -1.000000000
    0.071000    -0.005286102    -0.057107145    -0.005342986    -0.056666621    -1.000000000
